2025-12-04 17:59:48,004 | INFO     | InventoryPipeline |   Total reconciled records: 24
2025-12-04 17:59:48,004 | INFO     | InventoryPipeline |   Average effective stock: 353.12
2025-12-04 17:59:48,004 | INFO     | InventoryPipeline |   Total stock movement: 1120
2025-12-04 17:59:48,004 | INFO     | InventoryPipeline | ======================================================================
2025-12-04 17:59:48,005 | INFO     | InventoryPipeline | LAYER 4: CURATED (GOLD) - Inventory Fact Table
2025-12-04 17:59:48,005 | INFO     | InventoryPipeline | ======================================================================
2025-12-04 17:59:48,017 | INFO     | InventoryPipeline |   Saved to: curated/inventory_fact/inventory_fact.parquet
2025-12-04 17:59:48,022 | INFO     | InventoryPipeline |   Also saved as CSV: curated/inventory_fact/inventory_fact.csv
2025-12-04 17:59:48,022 | INFO     | InventoryPipeline |   Total records in fact table: 24
2025-12-04 17:59:48,022 | INFO     | InventoryPipeline | ======================================================================
2025-12-04 17:59:48,023 | INFO     | InventoryPipeline | QUARANTINE LAYER - Invalid Records for Diagnostics
2025-12-04 17:59:48,023 | INFO     | InventoryPipeline | ======================================================================
2025-12-04 17:59:48,033 | INFO     | InventoryPipeline |   inventory_snapshot: 5 invalid records saved to quarantine/quarantine_inventory_snapshot
2025-12-04 17:59:48,043 | INFO     | InventoryPipeline |   restock_events: 6 invalid records saved to quarantine/quarantine_restock_events
2025-12-04 17:59:48,044 | INFO     | InventoryPipeline | Report saved to: curated/pipeline_execution_report.txt
2025-12-04 17:59:48,045 | INFO     | InventoryPipeline | **********************************************************************
2025-12-04 17:59:48,045 | INFO     | InventoryPipeline | PIPELINE COMPLETED SUCCESSFULLY!
2025-12-04 17:59:48,046 | INFO     | InventoryPipeline | **********************************************************************
2025-12-04 17:59:55,735 | INFO     | InventoryPipeline | **********************************************************************
2025-12-04 17:59:55,735 | INFO     | InventoryPipeline | STARTING: UNIFIED PRODUCT & INVENTORY DATA HARMONIZATION PIPELINE
2025-12-04 17:59:55,735 | INFO     | InventoryPipeline | **********************************************************************
2025-12-04 17:59:55,736 | INFO     | InventoryPipeline | ======================================================================
2025-12-04 17:59:55,736 | INFO     | InventoryPipeline | LAYER 1: RAW (BRONZE) - Data Ingestion
2025-12-04 17:59:55,736 | INFO     | InventoryPipeline | ======================================================================
2025-12-04 17:59:55,736 | INFO     | InventoryPipeline | Loading dataset: inventory_snapshot from raw/inventory_snapshot.csv
2025-12-04 17:59:55,739 | INFO     | InventoryPipeline | Loaded 30 records from inventory_snapshot
2025-12-04 17:59:55,739 | INFO     | InventoryPipeline | Columns: ['snapshot_id', 'store_id', 'product_id', 'snapshot_date', 'snapshot_level', 'max_capacity', 'damaged_quantity', 'expired_quantity']
2025-12-04 17:59:55,739 | INFO     | InventoryPipeline | Loading dataset: restock_events from raw/restock_events.csv
2025-12-04 17:59:55,741 | INFO     | InventoryPipeline | Loaded 28 records from restock_events
2025-12-04 17:59:55,741 | INFO     | InventoryPipeline | Columns: ['restock_id', 'store_id', 'product_id', 'restock_date', 'incoming_quantity', 'restock_type', 'supplier_id']
2025-12-04 17:59:55,741 | INFO     | InventoryPipeline | Loading dataset: products from raw/products.csv
2025-12-04 17:59:55,744 | INFO     | InventoryPipeline | Loaded 10 records from products
2025-12-04 17:59:55,744 | INFO     | InventoryPipeline | Columns: ['product_id', 'product_name', 'sku', 'category', 'unit_price', 'max_restock_quantity', 'status']
2025-12-04 17:59:55,744 | INFO     | InventoryPipeline | Loading dataset: stores from raw/stores.csv
2025-12-04 17:59:55,746 | INFO     | InventoryPipeline | Loaded 5 records from stores
2025-12-04 17:59:55,746 | INFO     | InventoryPipeline | Columns: ['store_id', 'store_name', 'location', 'city', 'region', 'store_type', 'capacity_tier']
2025-12-04 17:59:55,773 | INFO     | InventoryPipeline | Raw data saved: raw/inventory_snapshot_raw.parquet
2025-12-04 17:59:55,777 | INFO     | InventoryPipeline | Raw data saved: raw/restock_events_raw.parquet
2025-12-04 17:59:55,777 | INFO     | InventoryPipeline | Total inventory snapshots: 30
2025-12-04 17:59:55,777 | INFO     | InventoryPipeline | Total restock events: 28
2025-12-04 17:59:55,777 | INFO     | InventoryPipeline | Products in master: 10
2025-12-04 17:59:55,777 | INFO     | InventoryPipeline | Stores in master: 5
2025-12-04 17:59:55,777 | INFO     | InventoryPipeline | ======================================================================
2025-12-04 17:59:55,777 | INFO     | InventoryPipeline | LAYER 2: STAGING (SILVER) - Validation & Deduplication
2025-12-04 17:59:55,777 | INFO     | InventoryPipeline | ======================================================================
2025-12-04 17:59:55,777 | INFO     | InventoryPipeline | --------------------------------------------------
2025-12-04 17:59:55,777 | INFO     | InventoryPipeline | Validating Inventory Snapshots...
2025-12-04 17:59:55,778 | INFO     | InventoryPipeline | --------------------------------------------------
2025-12-04 17:59:55,781 | INFO     | InventoryPipeline |   Missing store_id: 1 records
2025-12-04 17:59:55,783 | INFO     | InventoryPipeline |   Missing product_id: 1 records
2025-12-04 17:59:55,784 | INFO     | InventoryPipeline |   Missing snapshot_date: 1 records
2025-12-04 17:59:55,786 | INFO     | InventoryPipeline |   Missing snapshot_level: 0 records
2025-12-04 17:59:55,788 | INFO     | InventoryPipeline |   Negative stock: 1 records
2025-12-04 17:59:55,791 | INFO     | InventoryPipeline |   Mismatched product_id: 1 records
2025-12-04 17:59:55,794 | INFO     | InventoryPipeline |   Capacity exceeded (warning): 0 records
2025-12-04 17:59:55,799 | INFO     | InventoryPipeline |   Valid records: 24
2025-12-04 17:59:55,799 | INFO     | InventoryPipeline |   Invalid records: 5
2025-12-04 17:59:55,800 | INFO     | InventoryPipeline |   Duplicates removed: 1
2025-12-04 17:59:55,800 | INFO     | InventoryPipeline | --------------------------------------------------
2025-12-04 17:59:55,800 | INFO     | InventoryPipeline | Validating Restock Events...
2025-12-04 17:59:55,800 | INFO     | InventoryPipeline | --------------------------------------------------
2025-12-04 17:59:55,803 | INFO     | InventoryPipeline |   Missing store_id: 1 records
2025-12-04 17:59:55,805 | INFO     | InventoryPipeline |   Missing product_id: 1 records
2025-12-04 17:59:55,806 | INFO     | InventoryPipeline |   Missing restock_date: 0 records
2025-12-04 17:59:55,807 | INFO     | InventoryPipeline |   Missing incoming_quantity: 0 records
2025-12-04 17:59:55,809 | INFO     | InventoryPipeline |   Invalid quantity: 0 records
2025-12-04 17:59:55,814 | INFO     | InventoryPipeline |   Exceeded restock max: 3 records
2025-12-04 17:59:55,816 | INFO     | InventoryPipeline |   Mismatched product_id: 1 records
2025-12-04 17:59:55,817 | INFO     | InventoryPipeline |   Valid records: 22
2025-12-04 17:59:55,817 | INFO     | InventoryPipeline |   Invalid records: 6
